,time_sec,time_hms,bus_lat,bus_lon,train_lat,train_lon,bus_trip_id_at_time,train_trip_id_at_time
70,35820,09:57:00,49.741416,20.195449,49.99644538571428,20.0393593,28446351_7953,2024_2025_813469
71,35850,09:57:30,49.743553250000005,20.1933325,49.99477445714285,20.041652300000003,28446351_7953,2024_2025_813469
72,35880,09:58:00,49.7456905,20.191216,49.993103528571424,20.0439453,28446351_7953,2024_2025_813469
73,35910,09:58:30,49.74782775,20.1890995,49.991432599999996,20.0462383,28446351_7953,2024_2025_813469
74,35940,09:59:00,49.749965,20.186983,49.989761671428575,20.0485313,28446351_7953,2024_2025_813469
75,35970,09:59:30,49.75094625,20.18471175,49.98852541666667,20.05064725,28446351_7953,2024_2025_813469
76,36000,10:00:00,49.7519275,20.1824405,49.987578944444444,20.052645166666668,28446351_7953,2024_2025_813469
77,36030,10:00:30,49.75290875,20.18016925,49.986632472222226,20.054643083333332,28446351_7953,2024_2025_813469
78,36060,10:01:00,49.75389,20.177898,49.985686,20.056641,28446351_7953,2024_2025_813469
79,36090,10:01:30,49.75388775,20.174427,49.988348775,20.048665384375,28446351_7953,2024_2025_813469
80,36120,10:02:00,49.753885499999996,20.170956,49.99101155,20.04068976875,28446351_7953,2024_2025_813469
81,36150,10:02:30,49.75388325,20.167485,49.993674325,20.032714153125,28446351_7953,2024_2025_813469
82,36180,10:03:00,49.753881,20.164014,49.9963371,20.0247385375,28446351_7953,2024_2025_813469
83,36210,10:03:30,49.754271333333335,20.158391666666667,49.998999875,20.016762921875,28446351_7953,2024_2025_813469
84,36240,10:04:00,49.754661666666664,20.152769333333335,50.00166265,20.00878730625,28446351_7953,2024_2025_813469
85,36270,10:04:30,49.755052,20.147147,50.004325425,20.000811690625,28446351_7953,2024_2025_813469
86,36300,10:05:00,49.755442333333335,20.141524666666665,50.0069882,19.992836075,28446351_7953,2024_2025_813469
87,36330,10:05:30,49.75583266666666,20.135902333333334,50.009650975,19.984860459375,28446351_7953,2024_2025_813469
88,36360,10:06:00,49.756223,20.13028,50.01231375,19.97688484375,28446351_7953,2024_2025_813469
89,36390,10:06:30,49.760065999999995,20.1254425,50.014976525,19.968909228125,28446351_7953,2024_2025_813469
90,36420,10:07:00,49.763909,20.120605,50.0176393,19.9609336125,28446351_7953,2024_2025_813469
91,36450,10:07:30,49.766042999999996,20.1187085,50.020302075,19.952957996875,28446351_7953,2024_2025_813469
92,36480,10:08:00,49.768177,20.116812,50.02296485,19.94498238125,28446351_7953,2024_2025_813469
93,36510,10:08:30,49.771537,20.1155125,50.025627625,19.937006765625,28446351_7953,2024_2025_813469
94,36540,10:09:00,49.774897,20.114213,50.0282904,19.92903115,28446351_7953,2024_2025_813469
95,36570,10:09:30,49.7780155,20.114777,50.030953175,19.921055534375,28446351_7953,2024_2025_813469
96,36600,10:10:00,49.781134,20.115341,50.03361595,19.91307991875,28446351_7953,2024_2025_813469
97,36630,10:10:30,49.7842525,20.115904999999998,50.036278725,19.905104303125,28446351_7953,2024_2025_813469
